index;situation;relance
1;Un spectateur s'agace et parce qu’un autre est assis à sa place.;Oui mais j’ai payé plus de 600€ cette place ! C’est inadmissible !
2;En porte G, un spectateur se plaint de la lenteur de la file d’attente.;Le match commence dans 5 minutes, je vais rater le début !
3;En porte, un spectateur veut passer avec un billet non valide.;Appelez un responsable, je veux entrer tout de suite.
4;Une spectatrice s’énerve car elle ne trouve pas les toilettes.;Y en a partout sauf pour les femmes, c’est n’importe quoi !
5;Une spectatrice s’énerve car la sécurité lui demande d'ôter son maillot équipe visiteurs;C’est n’importe quoi ! Attendez que je mette ça sur les réseaux...
6;Une spectatrice refuse de s'asseoir à sa place car son voisin sent trop mauvais d'après elle.;C'est lui qui doit partir! C'est lui qui pue !
7;Un spectateur est debout dans les escaliers en Tribune. Vous lui demandez de s'asseoir mais il refuse prétextant que l'on voit mieux et qu'il ne dérange personne.;Ça va ! Ça dérange personne calmez-vous un peu
8;Une spectatrice en 400 qui a le vertige demande à être replacée ailleurs;C’est n’importe quoi il y a de la place en bas!
9;Un couple se présente avec un bébé mais sans billet pour le bébé;Mais c'est bon on le gardera sur nos genoux. Contrairement à d'autres, c'est pas comme s'il prenait de la place !
10;Un responsable de club arrive avec 100 jeunes et ne dispose que d'un mail de confirmation d'un commercial PSG, mais pas les places. Le commercial est injoignable;Vous savez pas qui je suis je pense!
11;Une femme enceinte avec un enfant en 404 a le vertige et souhaite être replacée, alors que le Stade est plein.;S'il vous plait, vous voyez bien que je n'y peux rien et que je suis enceinte...
12;Des clients avec enfants souhaitent rentrer avec leur poussette non pliable.;C'est scandaleux! L'accueil des familles c'est honteux!
13;Des spectateurs arrivent en retard après le coup d'envoi et leurs places sont prises par d'autres, à la 25ème minute d'un gros match LDC. Le stade est plein; Sérieux! On a payé 600euros x4 et vous voulez qu'on reste debouts? Vous êtes taré!
14;Un spectateur n'est pas content car son voisin, en situation de surpoids, empiète énormément sur son siège. À tel point qu'il ne peut s'y asseoir;Sérieux c'est le gros, c'est lui qui doit bouger.
15;Un spectateur est venu avec son fils de 10 ans, mais les places sont dans 2 tribunes différentes;Allez! Vous voyez bien qu'on est des gens bien...
16;Un spectateur est replacé car arrivé tardivement. d'autres personnes sont à sa place. Il se dit israélien, et dit qu'on répète l'histoire en "déportant" les israéliens dans une tribune.; Attendez que j'en réfère au CRIF !
17;Deux spectateurs ont le même billet pour une seule place.;C'est vraiment un sale c.... celui-là!
18;Un spectateur se plaint car il manque son siège.;Non mais c'est hallucinant. Attendez je filme...
19;Un groupe de personnes de 20 personnes se plaint que d'autres personnes leur ont volé leurs places. Les personnes assises à leurs places ne veulent pas montrer leurs billets et commencent à être agressifs avec le personnel de sécurité.;Vous ne me touchez pas ou je fais un scandale! Vous ne savez pas qui je suis
